,OLS,dataset_a,dataset_b,dataset_c,dataset_d
R2,0.15901207159705846,0.21662142949463625,0.22344650864830237,0.21964722544096818,0.23895027624309395
R2_ADJ,0.15901207159705846,0.21560760968034176,0.22235052604567618,0.21509971509971512,0.23452892144480927
RMSE,0.15796900099856737,0.24206573177614735,0.25048842964442325,0.2438892024486607,0.27806842356618766
