,dataset_a,dataset_b,dataset_c,dataset_d
R2,0.0685020033604757,0.07661755285073667,0.07209990987511258,0.09505273731793068
R2_ADJ,0.06729649281739361,0.07531434436746212,0.06669256669256668,0.08979540287951496
RMSE,0.09987367552656681,0.10987651138209278,0.10203923792827863,0.14263064270798417
